sample_name	amplicon_number	No amp/Invalid	Non-cyclic	Integration	Hybrid	Cyclic
ESO26	amplicon1	0.3425925925925926	0.020833333333333336	0.48148148148148145	0.06944444444444445	0.08564814814814815
ESO26	amplicon2	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
ESO26	amplicon3	0.14242424242424243	0.496969696969697	0.3606060606060607	0.0	0.0
ESO26	amplicon4	0.4439446831364125	0.023697636949516643	0.44503222341568194	0.02600250626566416	0.06132295023272466
ESO26	amplicon5	0.0	0.28740740740740744	0.0	0.47148148148148145	0.24111111111111114
ESO51	amplicon1	0.1111111111111111	0.7777777777777778	0.1111111111111111	0.0	0.0
ESO51	amplicon2	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
ESO51	amplicon3	0.07753623188405796	0.3478260869565217	0.45036231884057976	0.07481884057971015	0.04945652173913044
ESO51	amplicon4	0.05972222222222222	0.43888888888888894	0.3138888888888889	0.15	0.0375
ESO51	amplicon5	0.09249999999999999	0.34355555555555556	0.39788888888888885	0.12011111111111111	0.04594444444444444
ESO51	amplicon6	0.3792592592592592	0.09203703703703701	0.5107407407407408	0.0	0.017962962962962962
ESO51	amplicon7	0.0	0.0	0.0	0.0	0.0
ESO51	amplicon8	0.0	0.0	0.0	0.0	0.0
ESO51	amplicon9	0.05555555555555555	0.18055555555555555	0.2222222222222222	0.3611111111111111	0.18055555555555555
FLO-1	amplicon1	0.06617283950617284	0.5958024691358025	0.3380246913580247	0.0	0.0
FLO-1	amplicon2	0.0	1.0	0.0	0.0	0.0
FLO-1	amplicon3	0.0	0.25	0.5	0.0	0.25
FLO-1	amplicon4	0.0	0.25	0.5	0.0	0.25
FLO-1	amplicon5	1.0	0.0	0.0	0.0	0.0
FLO-1	amplicon6	1.0	0.0	0.0	0.0	0.0
JH-EsoAd1	amplicon1	0.3269230769230769	0.28846153846153844	0.38461538461538464	0.0	0.0
JH-EsoAd1	amplicon2	0.02712418300653594	0.5630718954248365	0.320751633986928	0.07336601307189543	0.01568627450980392
JH-EsoAd1	amplicon3	0.010101010101010102	0.18434343434343434	0.16161616161616166	0.22664141414141417	0.41729797979797983
JH-EsoAd1	amplicon4	0.20721001221001217	0.28037851037851036	0.4232173382173382	0.06734432234432233	0.021849816849816843
JH-EsoAd1	amplicon5	0.03667929292929295	0.2010732323232324	0.5073232323232322	0.04760101010101013	0.2073232323232324
OACM5.1	amplicon1	0.20615334467120183	0.3204444444444444	0.44305045351473915	0.008845238095238095	0.021506519274376416
OACP4-C	amplicon10	0.0	0.25	0.5	0.0	0.25
OACP4-C	amplicon11	0.3188888888888889	0.22777777777777783	0.4533333333333333	0.0	0.0
OACP4-C	amplicon12	0.04382716049382716	0.24567901234567902	0.588888888888889	0.0	0.12160493827160496
OACP4-C	amplicon13	0.1719771241830065	0.2883986928104575	0.46732026143790845	0.031862745098039214	0.04044117647058824
OACP4-C	amplicon14	0.10694444444444444	0.20694444444444446	0.4527777777777778	0.1388888888888889	0.09444444444444444
OACP4-C	amplicon15	0.0	1.0	0.0	0.0	0.0
OACP4-C	amplicon16	0.0	0.4444444444444444	0.4444444444444444	0.0	0.1111111111111111
OACP4-C	amplicon17	0.0	0.25	0.5	0.0	0.25
OACP4-C	amplicon18	0.0	0.25	0.5	0.0	0.25
OACP4-C	amplicon19	0.0	0.0	0.0	0.0	0.0
OACP4-C	amplicon1	0.026515151515151512	0.3325757575757576	0.2787878787878788	0.20909090909090908	0.15303030303030304
OACP4-C	amplicon20	0.0	0.20370370370370372	0.48148148148148145	0.0	0.3148148148148148
OACP4-C	amplicon21	0.0	0.0	0.0	0.0	0.0
OACP4-C	amplicon22	0.21600694444444446	0.33527777777777784	0.4252777777777778	0.015625	0.0078125
OACP4-C	amplicon23	0.0	0.25	0.5	0.0	0.25
OACP4-C	amplicon24	0.04583333333333332	0.07916666666666665	0.625	0.0	0.24999999999999994
OACP4-C	amplicon25	0.05555555555555555	0.5555555555555556	0.38888888888888884	0.0	0.0
OACP4-C	amplicon26	0.0	0.25	0.5	0.0	0.25
OACP4-C	amplicon27	0.03645833333333333	0.11458333333333333	0.6510416666666666	0.0	0.19791666666666666
OACP4-C	amplicon28	1.0	0.0	0.0	0.0	0.0
OACP4-C	amplicon2	0.12757575757575762	0.34212121212121216	0.47314393939393934	0.03946969696969698	0.017689393939393946
OACP4-C	amplicon3	0.0	0.19444444444444445	0.5000000000000001	0.0	0.3055555555555555
OACP4-C	amplicon4	0.0	0.25	0.5	0.0	0.25
OACP4-C	amplicon5	0.0	0.25	0.5	0.0	0.25
OACP4-C	amplicon6	0.0	0.0	0.0	0.0	0.0
OACP4-C	amplicon7	0.07407407407407407	0.12962962962962962	0.6666666666666666	0.0	0.12962962962962962
OACP4-C	amplicon8	0.06165123456790124	0.3762345679012346	0.4202160493827159	0.11203703703703703	0.02986111111111111
OACP4-C	amplicon9	0.0	0.1388888888888889	0.5555555555555555	0.0	0.3055555555555555
OE33	amplicon1	0.32033983236151603	0.17381863459669583	0.4736728620019436	0.01997540087463557	0.012193270165208938
OE33	amplicon2	0.0	0.0	0.0	0.0	0.0
OE33	amplicon3	0.0	0.4444444444444445	0.22222222222222224	0.22222222222222224	0.11111111111111112
OE33	amplicon4	0.017361111111111112	0.21109977324263038	0.09444444444444444	0.41712585034013616	0.25996882086167805
OE33	amplicon5	1.0	0.0	0.0	0.0	0.0
SK-GT-4	amplicon1	0.0	1.0	0.0	0.0	0.0
SK-GT-4	amplicon2	0.14007936507936508	0.4222222222222223	0.401984126984127	0.02380952380952381	0.011904761904761906
